Map No.	Sample number	Flat number plant number (vlookup)	Tissue collected	underscore	Full Label	Pedigree	Box No.	Remarks (plate)	Remarks (well)	Collector name	Date of collection	RNA stock concentration (ng/ul)	RNA diluted concentration (ng/ul)	Accession  	Origin	Source	DNA_Plate	Row (extrapolated)	Column (extrapolated)	Nextera N7 primer	Nextera S5 primer	Notes
49	5	14A0005	LMAD_8	_	LMAD_8_14A0005		KAK_RNA_7			Karl Jeremy	8082014		528	CO255			KAK_7_8	A	1	701	502	KAK_7_8 combined from two separate plates
50	7	14A0007	LMAD_8	_	LMAD_8_14A0007		KAK_RNA_7			Karl Jeremy	8082014		706	CM7			KAK_7_8	B	1	701	503	
51	9	14A0009	LMAD_8	_	LMAD_8_14A0009		KAK_RNA_7			Karl Jeremy	8082014		506	F7			KAK_7_8	C	1	701	505	
52	11	14A0011	LMAD_8	_	LMAD_8_14A0011		KAK_RNA_7			Karl Jeremy	8082014		409	ND246			KAK_7_8	D	1	701	506	
53	13	14A0013	LMAD_8	_	LMAD_8_14A0013		KAK_RNA_7			Karl Jeremy	8082014		309	A654			KAK_7_8	E	1	701	507	
54	15	14A0015	LMAD_8	_	LMAD_8_14A0015		KAK_RNA_7			Karl Jeremy	8082014		425	CO106			KAK_7_8	F	1	701	508	
55	17	14A0017	LMAD_8	_	LMAD_8_14A0017		KAK_RNA_7			Karl Jeremy	8082014		610	W182B			KAK_7_8	G	1	701	510	
56	19	14A0019	LMAD_8	_	LMAD_8_14A0019		KAK_RNA_7			Karl Jeremy	8082014		629	EP1			KAK_7_8	H	1	701	511	
57	21	14A0021	LMAD_8	_	LMAD_8_14A0021		KAK_RNA_7			Karl Jeremy	8082014		374	A188			KAK_7_8	A	2	702	502	
58	23	14A0023	LMAD_8	_	LMAD_8_14A0023		KAK_RNA_7			Karl Jeremy	8082014		273	A659			KAK_7_8	B	2	702	503	
59	25	14A0025	LMAD_8	_	LMAD_8_14A0025		KAK_RNA_7			Karl Jeremy	8082014		485	CMV3			KAK_7_8	C	2	702	505	
60	27	14A0027	LMAD_8	_	LMAD_8_14A0027		KAK_RNA_7			Karl Jeremy	8082014		322	CO125			KAK_7_8	D	2	702	506	
61	30	14A0030	LMAD_8	_	LMAD_8_14A0030		KAK_RNA_7			Karl Jeremy	8082014		132	P39			KAK_7_8	E	2	702	507	
62	31	14A0031	LMAD_8	_	LMAD_8_14A0031		KAK_RNA_7			Karl Jeremy	8082014		228	A556			KAK_7_8	F	2	702	508	
63	33	14A0033	LMAD_8	_	LMAD_8_14A0033		KAK_RNA_7			Karl Jeremy	8082014		482	MEF156-55-2			KAK_7_8	G	2	702	510	
64	35	14A0035	LMAD_8	_	LMAD_8_14A0035		KAK_RNA_7			Karl Jeremy	8082014		315	A554			KAK_7_8	H	2	702	511	
65	37	14A0037	LMAD_8	_	LMAD_8_14A0037		KAK_RNA_7			Karl Jeremy	8082014		265	C49A			KAK_7_8	A	3	703	502	
66	39	14A0039	LMAD_8	_	LMAD_8_14A0039		KAK_RNA_7			Karl Jeremy	8082014		643	CM105			KAK_7_8	B	3	703	503	
67	43	14A0043	LMAD_8	_	LMAD_8_14A0043		KAK_RNA_7			Karl Jeremy	8082014		809	W117HT			KAK_7_8	C	3	703	505	
68	45	14A0045	LMAD_8	_	LMAD_8_14A0045		KAK_RNA_7			Karl Jeremy	8082014		214	A661			KAK_7_8	D	3	703	506	
69	47	14A0047	LMAD_8	_	LMAD_8_14A0047		KAK_RNA_7			Karl Jeremy	8082014		412	I29			KAK_7_8	E	3	703	507	
70	49	14A0049	LMAD_8	_	LMAD_8_14A0049		KAK_RNA_7			Karl Jeremy	8082014		802	IA2132			KAK_7_8	F	3	703	508	
71	51	14A0051	LMAD_8	_	LMAD_8_14A0051		KAK_RNA_7			Karl Jeremy	8082014		563	SD44			KAK_7_8	G	3	703	510	
72	53	14A0053	LMAD_8	_	LMAD_8_14A0053		KAK_RNA_7			Karl Jeremy	8082014		607	MS1334			KAK_7_8	H	3	703	511	
73	55	14A0055	LMAD_8	_	LMAD_8_14A0055		KAK_RNA_7			Karl Jeremy	8082014		783	N192			KAK_7_8	A	4	704	502	
74	57	14A0057	LMAD_8	_	LMAD_8_14A0057		KAK_RNA_7			Karl Jeremy	8082014		599	P39			KAK_7_8	B	4	704	503	
