OTU ID	14A0253_26	14A0171_26	14A0045_8	14A0085_8	14A0079_26	14A0467_26	14A0039_8	14A0403_26	14A0063_8	14A0513_26	14A0059_8	14A0001_8	14A0023_8	14A0021_8	14A0081_8	14A0309_26	14A0169_26	14A0101_8	14A0455_26	14A0007_8	14A0425_26	14A0091_8	14A0355_26	14A0307_26	14A0451_26	14A0155_26	14A0095_8	14A0511_26	14A0013_8	14A0083_8	14A0157_26	14A0113_26	14A0381_26	14A0035_8	14A0031_8	14A0371_26	14A0011_8	14A0373_26	14A0209_26	14A0269_26	14A0465_26	14A0297_8	14A0291_8	14A0479_26	14A0231_8	14A0295_8	14A0411_26	14A0215_26	14A0357_8	14A0361_26	14A0429_26	14A0103_8	14A0167_26	14A0405_26	14A0437_26	14A0211_26	14A0271_8	14A0389_26	14A0421_26	14A0055_8	14A0223_26	14A0481_26	14A0053_8	14A0225_8	14A0137_26	14A0093_26	14A0339_8	14A0097_8	14A0353_26	14A0057_8	14A0087_26	14A0359_26	14A0397_26	14A0387_26	14A0319_26	14A0441_26	14A0261_8	14A0445_8	14A0461_26	14A0265_8	14A0033_8	14A0003_8	14A0485_26	14A0529_26	14A0413_26	14A0337_26	14A0275_8	14A0443_26	14A0491_26	14A0577_8	14A0393_8	14A0073_8	14A0317_26	14A0475_26	14A0069_8	14A0321_8	14A0247_8	14A0569_26	14A0043_8	14A0423_26	14A0369_26	14A0477_26	14A0051_8	14A0407_26	14A0285_26	14A0419_26	14A0067_8	14A0377_8	14A0447_26	14A0572_26	14A0395_8	14A0221_26	14A0105_8	14A0240_8	14A0240_26	14A0565_26	14A0564_26	14A0349_26	14A0255_8	14A0017_8	14A0463_26	14A0331_26	14A0277_8	14A0329_26	14A0576_8	14A0574_26	14A0573_26	14A0566_26	14A0505_26	14A0549_26	14A0009_8	14A0305_8	14A0427_26	14A0325_8	14A0019_8	14A0273_26	14A0401_26	14A0313_8	14A0457_26	14A0383_26	14A0493_26	14A0471_26	14A0015_8	14A0539_26	14A0523_26	14A0351_26	14A0449_26	14A0487_26	14A0507_26	14A0385_26	14A0267_8	14A0459_26	14A0065_8	14A0439_26	14A0483_26	14A0469_26	14A0501_26	14A0547_26	14A0495_26	14A0025_8	14A0521_26	14A0075_8	14A0497_26	14A0299_26	14A0519_26	14A0027_8	14A0005_8	14A0533_26	14A0333_26	14A0283_8	14A0473_26	14A0047_8	14A0049_8	14A0453_26	14A0345_8	14A0343_8
4479944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
995900	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1124709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
541139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
533625	5	3	0	0	0	0	0	8	0	0	2	4	1	0	1	12	0	2	4	1	0	0	0	4	3	2	12	26	0	0	1	2	2	2	7	0	0	0	0	0	42	0	6	13	1	0	1	0	0	5	1	0	0	9	3	0	3	0	4	2	1	2	0	4	0	0	0	0	5	0	6	0	3	1	12	0	8	0	44	0	15	1	29	3	0	9	0	6	8	4	0	0	0	14	0	0	0	40	0	4	5	20	1	1	0	5	0	0	13	10	0	0	0	0	0	8	1	3	0	0	1	0	0	0	0	0	0	36	66	5	0	20	1	0	0	0	6	0	0	27	2	9	3	3	40	1	3	8	46	3	0	2	0	1	3	3	52	6	2	0	130	0	40	0	61	0	0	0	4	0	20	0	0	10	0	0
114076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
253429	28	0	0	0	0	0	0	82	0	3	0	0	0	0	0	0	2	0	0	0	1	0	4	0	36	0	0	254	0	0	6	0	0	0	0	0	0	0	1	3	15	0	0	20	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	54	0	0	0	80	19	0	36	0	0	4	0	0	3	1	1	0	0	0	0	0	2	4	0	0	0	0	0	0	0	35	0	0	0	1	0	2	0	3	0	0	0	0	17	2	1	0	7	0	3	1	2	0	0	3	0	0	6	1	0	1	0	10	0	0	0	3	0	0	1	1	0	0	5	0	15	1	0	15	9	2	0	0	0	28	0	7	0	0	0	6	0	0	0	0	2	0	1
4454356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
606189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
1033426	0	0	1	0	0	0	1	0	0	0	0	5	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	1	0	1	0	3	0	7	0	1	0	0	0	0	0	0	0	0	0	0	22	0	2	0	2	0	1	0	1	1	0	13	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	2	4	0	0	0	0	3	4	0	0	5	0	0	0	0	0	0	0	6	3	31	5	0	0	0	0	0	0	2	2	0	1	0	3	0	2	1	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	16	0	3	0	0	0	0	0	0	0	0	2	1	9	0	0
