OTU_ID	14A0247_8	14A0051_8	14A0381_26	14A0533_26	14A0281_8	14A0295_8	14A0169_26	14A0069_8	14A0497_26	14A0023_8	14A0547_26	14A0572_26	14A0451_26	14A0569_26	14A0001_8	14A0109_8	14A0101_8	14A0570_8	14A0385_26	14A0501_26	14A0577_8	14A0253_26	14A0171_26	14A0307_26	14A0485_26	14A0493_26	14A0397_26	14A0511_26	14A0382_26	14A0487_26	14A0133_8	14A0479_26	14A0087_26	14A0186_8	14A0566_26	14A0147_8	14A0081_8	14A0119_8	14A0495_26	14A0565_26	14A0411_26	14A0369_26	14A0443_26	14A0271_8	14A0304_26	14A0435_8	14A0456_26	14A0439_26	14A0453_26	14A0455_26	14A0549_26	14A0519_26	14A0447_26	14A0529_26	14A0419_26	14A0173_8	14A0421_26	14A0349_26	14A0030_26	14A0223_26	14A0475_26	14A0127_8	14A0437_26	14A0473_26	14A0309_26	14A0539_26	14A0525_26	14A0185_8	14A0491_26	14A0459_26	14A0333_26	14A0240_26	14A0355_26	14A0277_8	14A0423_26	14A0209_26	14A0401_26	14A0403_26	14A0507_26	14A0329_26	14A0441_26	14A0317_26	14A0205_8	14A0201_8	14A0103_8	14A0283_8	14A0371_26	14A0461_26	14A0409_26	14A0405_26	14A0313_8	14A0114_8	14A0211_26	14A0261_8	14A0011_8	14A0564_26	14A0039_8	14A0573_26	14A0115_8	14A0031_8	14A0135_8	14A0025_8	14A0457_26	14A0303_8	14A0047_8	14A0513_26	14A0225_8	14A0505_26	14A0425_26	14A0073_8	14A0221_26	14A0239_8	14A0263_8	14A0153_8	14A0445_8	14A0255_8	14A0465_26	14A0113_26	14A0463_26	14A0005_8	14A0017_8	14A0045_8	14A0067_8	14A0117_8	14A0186_26	14A0407_26	14A0413_26	14A0477_26	14A0574_26	14A0195_8	14A0361_26	14A0269_26	14A0389_26	14A0503_8	14A0319_26	14A0331_26	14A0191_8	14A0471_26	14A0297_8	14A0575_8	14A0003_8	14A0091_8	14A0383_26	14A0217_8	14A0213_8	14A0175_8	14A0207_8	14A0121_8	14A0151_8	14A0395_8	14A0163_8	14A0179_8	14A0351_26	14A0131_8	14A0449_26	14A0203_8	14A0321_8	14A0183_8	14A0483_26	14A0053_8	14A0289_8	14A0285_26	14A0467_26	14A0429_26	14A0107_8	14A0030_8	14A0315_26	14A0521_26	14A0114_26	14A0165_8	14A0049_8	14A0469_26	14A0337_26	14A0305_8	14A0427_26	14A0357_8	14A0273_26	14A0381_8	14A0019_8	14A0027_8	14A0029_26	14A0275_8	14A0125_8	14A0143_8	14A0576_8	14A0145_8	14A0339_8	14A0015_8	14A0219_8	14A0061_8	14A0113_8	14A0083_8	14A0215_26	14A0157_26	14A0075_8	14A0353_26	14A0079_26	14A0055_8	14A0523_26	14A0249_8	14A0097_8	14A0235_8	14A0161_8	14A0021_8	14A0149_8	14A0199_8	14A0299_26	14A0063_8	14A0095_8	14A0231_8	14A0065_8	14A0241_8	14A0085_8	14A0181_8	14A0141_8	14A0057_8	14A0013_8	14A0059_8	14A0187_8	14A0035_8	14A0304_8	14A0387_26	14A0139_8	14A0240_8	14A0129_8	14A0311_8	14A0393_8	14A0159_8	14A0189_8	14A0291_8	14A0455_8	14A0343_8	14A0373_26	14A0359_26	14A0377_8	14A0325_8	14A0043_8	14A0033_8	14A0105_8	14A0345_8	14A0267_8	14A0009_8	14A0007_8	14A0093_26	14A0137_26	14A0265_8	14A0155_26	14A0167_26	14A0481_26
969149	0.0	22.0	10.0	1.0	32.0	4.0	42.0	3.0	53.0	3.0	1.0	39.0	22.0	44.0	6.0	23.0	0.0	3.0	4.0	6.0	0.0	1.0	5.0	1.0	6.0	12.0	10.0	173.0	1.0	41.0	10.0	25.0	6.0	66.0	22.0	10.0	16.0	10.0	0.0	111.0	37.0	4.0	304.0	0.0	7.0	5.0	28.0	19.0	17.0	145.0	19.0	74.0	1756.0	1.0	15.0	5.0	23.0	0.0	23.0	6.0	5.0	32.0	34.0	26.0	12.0	39.0	14.0	2.0	26.0	34.0	75.0	30.0	5.0	1973.0	8.0	7.0	22.0	8.0	50.0	8.0	15.0	774.0	2.0	0.0	0.0	31.0	3.0	169.0	3.0	28.0	48.0	18.0	0.0	22.0	2.0	178.0	3.0	4.0	6.0	0.0	6.0	6.0	325.0	40.0	9.0	5.0	1.0	96.0	56.0	7.0	0.0	1.0	7.0	10.0	1.0	1.0	77.0	3.0	23.0	1.0	10.0	5.0	2.0	3.0	53.0	0.0	29.0	39.0	22.0	1.0	1.0	10.0	0.0	0.0	540.0	0.0	73.0	27.0	5.0	0.0	17.0	1.0	7.0	17.0	0.0	2.0	2.0	2.0	5.0	1.0	4.0	2.0	1.0	22.0	19.0	2.0	18.0	10.0	29.0	6.0	6.0	21.0	12.0	32.0	39.0	16.0	50.0	122.0	56.0	4.0	10.0	33.0	5.0	45.0	30.0	5.0	10.0	1.0	2.0	15.0	6.0	11.0	1.0	2.0	4.0	4.0	1.0	9.0	18.0	2.0	2.0	5.0	4.0	2.0	3.0	2.0	1.0	19.0	44.0	4.0	22.0	49.0	0.0	8.0	15.0	1.0	1.0	0.0	4.0	1.0	3.0	10.0	0.0	6.0	0.0	3.0	1.0	1.0	0.0	1.0	38.0	0.0	0.0	2.0	1.0	9.0	0.0	14.0	0.0	1.0	3.0	2.0	3.0	2.0	0.0	8.0	2.0	7.0	0.0	0.0	3.0	1.0	2.0	0.0	8.0	2.0	0.0	10.0	18.0
734945	927.0	253.0	33.0	2760.0	33.0	1309.0	1647.0	8424.0	2187.0	1158.0	338.0	342.0	821.0	5235.0	34.0	16178.0	68.0	33.0	655.0	35162.0	735.0	16.0	449.0	74.0	5803.0	348.0	135.0	395.0	372.0	1950.0	3056.0	327.0	1678.0	167.0	121.0	594.0	2631.0	5305.0	2121.0	208.0	59.0	20.0	176.0	4200.0	74.0	4682.0	132.0	387.0	2154.0	142.0	516.0	473.0	2909.0	3140.0	1208.0	9457.0	184.0	122.0	10.0	585.0	229.0	1493.0	233.0	257.0	64.0	421.0	58.0	1440.0	13178.0	369.0	88.0	26.0	207.0	570.0	144.0	35.0	194.0	507.0	5983.0	139.0	465.0	281.0	4367.0	588.0	1277.0	816.0	52.0	5514.0	90.0	4337.0	27609.0	851.0	11.0	1890.0	5.0	196.0	254.0	144.0	1529.0	1398.0	23182.0	43.0	239.0	88.0	157.0	539.0	594.0	369.0	2466.0	1551.0	14.0	1879.0	1402.0	23176.0	1652.0	9968.0	4492.0	8.0	841.0	28.0	475.0	90.0	2084.0	4521.0	79.0	377.0	120.0	164.0	110.0	17200.0	860.0	736.0	97.0	72.0	2620.0	50.0	2287.0	2000.0	3475.0	154.0	14.0	2836.0	140.0	1042.0	1456.0	2115.0	70.0	254.0	714.0	282.0	8102.0	649.0	1231.0	20938.0	3391.0	114.0	1444.0	385.0	1555.0	36.0	404.0	643.0	1701.0	27.0	1675.0	309.0	57.0	417.0	7.0	4573.0	480.0	8608.0	310.0	412.0	4148.0	1458.0	55.0	1774.0	603.0	860.0	44.0	1830.0	51.0	1729.0	26.0	2506.0	140.0	655.0	2968.0	90.0	910.0	3423.0	11.0	376.0	1742.0	408.0	37.0	5737.0	641.0	98.0	93.0	3515.0	4063.0	198.0	272.0	163.0	710.0	501.0	173.0	4905.0	454.0	274.0	3475.0	1434.0	1414.0	575.0	184.0	68.0	571.0	143.0	499.0	242.0	3922.0	118.0	1013.0	11379.0	444.0	4240.0	20.0	1646.0	293.0	3453.0	17.0	252.0	288.0	585.0	759.0	521.0	943.0	87.0	62.0	33.0	15.0	441.0	1243.0	83.0	164.0	900.0	220.0
808437	1.0	19.0	2.0	41.0	13.0	3.0	15.0	6.0	17.0	9.0	2.0	8.0	0.0	2.0	1.0	7.0	1.0	0.0	5.0	5.0	1.0	1.0	0.0	1.0	15.0	3.0	135.0	3.0	2.0	15.0	1.0	6.0	4.0	53.0	15.0	3.0	9.0	2.0	1.0	79.0	17.0	2.0	223.0	0.0	10.0	3.0	4.0	0.0	12.0	125.0	9.0	9.0	7.0	0.0	0.0	1.0	0.0	1.0	17.0	8.0	2.0	0.0	1.0	2.0	1.0	2.0	18.0	0.0	16.0	0.0	33.0	21.0	0.0	27.0	3.0	1.0	2.0	60.0	1.0	7.0	1.0	585.0	5.0	3.0	3.0	13.0	5.0	89.0	1.0	51.0	21.0	10.0	6.0	2.0	4.0	7.0	0.0	1.0	5.0	1.0	7.0	8.0	2.0	20.0	2.0	0.0	0.0	146.0	20.0	0.0	0.0	5.0	1.0	70.0	0.0	0.0	3.0	3.0	21.0	7.0	8.0	1.0	2.0	2.0	28.0	1.0	1.0	7.0	12.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	2.0	24.0	6.0	0.0	18.0	5.0	7.0	12.0	2.0	0.0	0.0	5.0	1290.0	1.0	10.0	3.0	1.0	10.0	4.0	0.0	27.0	0.0	3.0	3.0	1.0	13.0	0.0	6.0	29.0	7.0	7.0	15.0	23.0	3.0	2.0	39.0	16.0	55.0	2.0	1.0	8.0	1.0	15.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	5.0	2.0	4.0	3.0	2.0	0.0	1.0	0.0	5.0	8.0	0.0	34.0	0.0	3.0	11.0	0.0	0.0	6.0	1.0	0.0	3.0	1.0	2.0	1.0	12.0	0.0	1.0	2.0	6.0	1.0	2.0	411.0	0.0	1.0	2.0	3.0	50.0	1.0	0.0	0.0	1.0	0.0	1.0	5.0	3.0	0.0	6.0	3.0	12.0	1.0	1.0	2.0	1.0	5.0	2.0	3.0	0.0	0.0	5.0	2.0
750840	5.0	12.0	10.0	55.0	1.0	36.0	5.0	3.0	42.0	10.0	40.0	35.0	11.0	111.0	2.0	0.0	4.0	2.0	4.0	58.0	7.0	8.0	7.0	8.0	74.0	11.0	3.0	48.0	17.0	18.0	1.0	19.0	85.0	24.0	48.0	2.0	18.0	234.0	16.0	181.0	21.0	10.0	30.0	9.0	14.0	2.0	67.0	39.0	27.0	4.0	76.0	85.0	112.0	55.0	9.0	3.0	23.0	8.0	46.0	19.0	30.0	2.0	123.0	122.0	24.0	131.0	14.0	3.0	34.0	13.0	15.0	1.0	16.0	0.0	3.0	1.0	29.0	155.0	56.0	8.0	2.0	54.0	2.0	6.0	6.0	18.0	112.0	95.0	12.0	60.0	8.0	5.0	1.0	4.0	2.0	43.0	92.0	23.0	12.0	8.0	18.0	40.0	10.0	30.0	6.0	54.0	5.0	39.0	18.0	3.0	3.0	19.0	4.0	30.0	14.0	82.0	110.0	0.0	24.0	2.0	8.0	49.0	5.0	264.0	8.0	2.0	4.0	42.0	110.0	1.0	11.0	42.0	3.0	2.0	13496.0	21.0	18.0	52.0	6.0	4.0	9.0	20.0	44.0	26.0	10.0	0.0	0.0	9.0	171.0	3.0	60.0	3.0	3.0	22.0	13.0	2.0	27.0	9.0	21.0	1.0	2.0	3.0	29.0	51.0	212.0	57.0	32.0	219.0	4.0	4.0	139.0	5407.0	29.0	4.0	0.0	13.0	1.0	1.0	0.0	3.0	2.0	4.0	197.0	14.0	2.0	3.0	25.0	121.0	3.0	7.0	1.0	5.0	5.0	84.0	139.0	1.0	6.0	9.0	47.0	2.0	0.0	9.0	0.0	1.0	5.0	2.0	7.0	9.0	2.0	4.0	16.0	5.0	0.0	9.0	30.0	239.0	14.0	23.0	3.0	29.0	24.0	8.0	299.0	2.0	14.0	70.0	0.0	1.0	1.0	56.0	0.0	2.0	2.0	9.0	15.0	44.0	177.0	16.0	27.0	0.0	9.0	3.0	18.0	4.0	5.0	3.0	2.0	104.0	33.0
542475	2.0	4.0	11.0	0.0	3.0	19.0	3.0	2.0	15.0	2.0	1.0	17.0	5.0	50.0	15.0	10.0	0.0	5.0	3.0	46.0	3.0	44.0	11.0	8.0	174.0	2.0	4.0	12.0	18.0	28.0	7.0	0.0	32.0	8.0	42.0	15.0	28.0	104.0	12.0	64.0	11.0	0.0	8.0	21.0	32.0	21.0	4.0	9.0	8.0	74.0	2.0	77.0	24.0	41.0	7.0	19.0	0.0	11.0	1723.0	24.0	4.0	99.0	34.0	188.0	17.0	11.0	6.0	3.0	98.0	13.0	7.0	189.0	41.0	26.0	1.0	15.0	64.0	833.0	44.0	2.0	0.0	46.0	0.0	2.0	0.0	6.0	4.0	84.0	1.0	8.0	53.0	15.0	4.0	1.0	44.0	9.0	30.0	33.0	1.0	25.0	31.0	201.0	19.0	6.0	18.0	17.0	18.0	122.0	9.0	0.0	6.0	129.0	17.0	50.0	0.0	32.0	30.0	8.0	10.0	357.0	64.0	16.0	8.0	31.0	116.0	7.0	13.0	23.0	48.0	4.0	9.0	36.0	12.0	2.0	65.0	60.0	9.0	3.0	2.0	2.0	52.0	7.0	156.0	28.0	219.0	17.0	0.0	10.0	57.0	1.0	0.0	152.0	8.0	18.0	4.0	0.0	10.0	15.0	12.0	10.0	7.0	5.0	81.0	11.0	384.0	613.0	7.0	50.0	16.0	0.0	23.0	971.0	15.0	15.0	0.0	4.0	31.0	0.0	230.0	39.0	5.0	11.0	3.0	1.0	1.0	1.0	4.0	470.0	3.0	16.0	1.0	2.0	6.0	14.0	4.0	4.0	11.0	11.0	1.0	4.0	13.0	21.0	3.0	24.0	21.0	0.0	7.0	1.0	15.0	4.0	1.0	0.0	1.0	11.0	4.0	94.0	66.0	4.0	2.0	1000.0	71.0	0.0	88.0	3.0	17.0	41.0	5.0	4.0	3.0	22.0	2.0	5.0	5.0	3.0	4.0	85.0	18.0	20.0	16.0	1.0	12.0	38.0	255.0	12.0	14.0	2.0	8.0	18.0	21.0
332954	1.0	11.0	0.0	4.0	15.0	2.0	13.0	2.0	11.0	5.0	2.0	2.0	12.0	7.0	0.0	16.0	2.0	2.0	6.0	7.0	0.0	0.0	0.0	1.0	5.0	1.0	4.0	6.0	13.0	17.0	0.0	0.0	7.0	10.0	6.0	11.0	6.0	18.0	1.0	3.0	13.0	2.0	4.0	0.0	1.0	1.0	7.0	3.0	27.0	3.0	4.0	13.0	91.0	11.0	8.0	70.0	10.0	1.0	0.0	2.0	2.0	1.0	23.0	16.0	3.0	0.0	0.0	4.0	87.0	39.0	1.0	2.0	5.0	4.0	1.0	2.0	9.0	19.0	1.0	0.0	4.0	3.0	0.0	23.0	16.0	1.0	3.0	29.0	26.0	23.0	91.0	8.0	0.0	3.0	0.0	0.0	2.0	2.0	2.0	8.0	40.0	4.0	1.0	15.0	0.0	19.0	1.0	7.0	18.0	8.0	0.0	9.0	1.0	11.0	5.0	11.0	55.0	0.0	14.0	3.0	1.0	1.0	3.0	65.0	0.0	10.0	7.0	3.0	6.0	10.0	30.0	3.0	0.0	1.0	342.0	2.0	48.0	3.0	15.0	0.0	0.0	1.0	18.0	30.0	19.0	1.0	0.0	9.0	16.0	0.0	1.0	5.0	5.0	28.0	2.0	0.0	72.0	1.0	34.0	0.0	1.0	0.0	64.0	3.0	21.0	4.0	2.0	47.0	1.0	3.0	0.0	145.0	1.0	18.0	5.0	1.0	0.0	5.0	2.0	0.0	0.0	1.0	21.0	7.0	4.0	19.0	1.0	3.0	2.0	1.0	10.0	1.0	2.0	8.0	4.0	1.0	0.0	12.0	3.0	9.0	2.0	13.0	8.0	6.0	8.0	2.0	10.0	2.0	1.0	3.0	1.0	5.0	0.0	39.0	1.0	5.0	0.0	0.0	3.0	3.0	4.0	0.0	10.0	1.0	9.0	28.0	1.0	20.0	1.0	11.0	1.0	9.0	0.0	4.0	0.0	53.0	1.0	0.0	4.0	0.0	0.0	11.0	1.0	10.0	5.0	0.0	0.0	9.0	48.0
162149	2.0	189.0	0.0	28.0	0.0	598.0	45.0	2.0	19.0	35.0	7.0	21.0	6.0	13.0	0.0	4.0	0.0	19.0	0.0	21.0	5.0	0.0	2.0	0.0	57.0	0.0	2.0	17.0	0.0	44.0	5.0	12.0	74.0	1.0	8.0	0.0	1.0	0.0	5.0	198.0	4.0	0.0	12.0	0.0	1.0	199.0	0.0	18.0	9.0	1.0	23.0	18.0	181.0	532.0	3.0	1.0	1.0	0.0	1.0	1.0	288.0	5.0	75.0	8.0	0.0	66.0	5.0	0.0	14.0	10.0	3.0	0.0	0.0	3.0	3.0	0.0	104.0	3.0	24.0	1.0	10.0	1.0	3.0	4.0	1.0	108.0	3.0	14.0	238.0	2.0	24.0	15.0	3.0	14.0	1.0	11.0	0.0	23.0	1.0	3.0	45.0	1.0	3.0	34.0	1.0	7.0	3.0	37.0	6.0	1.0	2.0	2.0	1.0	38.0	523.0	302.0	132.0	0.0	4.0	4.0	1.0	1.0	7.0	0.0	1.0	0.0	13.0	23.0	47.0	47.0	4.0	4.0	0.0	7.0	353.0	2.0	28.0	6.0	93.0	24.0	0.0	0.0	0.0	4.0	7.0	4.0	0.0	3.0	2.0	0.0	6.0	19.0	2.0	87.0	3.0	0.0	36.0	2.0	27.0	3.0	11.0	15.0	479.0	10.0	0.0	1.0	0.0	45.0	0.0	0.0	2.0	12.0	5.0	15.0	1.0	82.0	0.0	0.0	0.0	3.0	0.0	0.0	98.0	2.0	3.0	0.0	14.0	1.0	6.0	2.0	0.0	25.0	0.0	3.0	2.0	0.0	1.0	1.0	77.0	57.0	0.0	2.0	0.0	0.0	1.0	3.0	53.0	0.0	1.0	0.0	11.0	6.0	3.0	9.0	0.0	17.0	1.0	6.0	0.0	14.0	122.0	0.0	6.0	0.0	1.0	33.0	0.0	6.0	0.0	29.0	9.0	6.0	0.0	1.0	0.0	43.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	21.0
1074373	29.0	493.0	10.0	14.0	550.0	330.0	440.0	1640.0	37.0	134.0	14.0	106.0	52.0	223.0	9.0	29.0	172.0	37.0	97.0	253.0	106.0	22.0	46.0	11.0	80.0	25.0	226.0	56.0	4.0	222.0	53.0	85.0	154.0	55.0	36.0	163.0	322.0	36.0	27.0	563.0	666.0	14.0	45.0	38.0	7.0	1978.0	23.0	129.0	99.0	8.0	48.0	73.0	88.0	262.0	316.0	159.0	80.0	74.0	19.0	97.0	146.0	5.0	44.0	60.0	31.0	87.0	34.0	306.0	183.0	70.0	27.0	45.0	18.0	19.0	19.0	6.0	92.0	38.0	14.0	55.0	11.0	87.0	296.0	156.0	402.0	57.0	28.0	731.0	371.0	178.0	140.0	109.0	6.0	251.0	77.0	33.0	18.0	35.0	103.0	345.0	948.0	131.0	13.0	81.0	22.0	27.0	91.0	311.0	147.0	518.0	53.0	8.0	44.0	447.0	431.0	211.0	14.0	42.0	163.0	6.0	74.0	98.0	789.0	53.0	1335.0	219.0	436.0	144.0	20.0	252.0	16.0	381.0	19.0	47.0	32.0	10.0	426.0	70.0	288.0	49.0	8.0	204.0	44.0	310.0	954.0	327.0	24.0	137.0	129.0	285.0	117.0	219.0	79.0	571.0	436.0	71.0	141.0	90.0	8.0	37.0	161.0	152.0	173.0	12.0	18.0	77.0	13.0	57.0	47.0	48.0	70.0	110.0	2.0	27.0	445.0	118.0	40.0	100.0	20.0	34.0	27.0	56.0	166.0	42.0	57.0	72.0	67.0	65.0	726.0	64.0	63.0	1234.0	22.0	79.0	200.0	11.0	8.0	139.0	13.0	167.0	38.0	91.0	141.0	71.0	32.0	22.0	13.0	505.0	58.0	100.0	298.0	16.0	570.0	573.0	29.0	34.0	144.0	26.0	24.0	306.0	68.0	14.0	21.0	27.0	45.0	127.0	177.0	234.0	3.0	87.0	21.0	460.0	10.0	8.0	201.0	117.0	71.0	145.0	69.0	32.0	5.0	32.0	36.0	72.0	30.0	34.0	32.0	60.0	46.0
4418394	31.0	3824.0	75.0	19.0	498.0	495.0	102.0	853.0	1425.0	345.0	112.0	34.0	491.0	28.0	35.0	1299.0	12.0	255.0	92.0	3218.0	41.0	3.0	85.0	295.0	45.0	39.0	25.0	20.0	172.0	1212.0	416.0	10.0	252.0	56.0	9.0	277.0	645.0	3548.0	439.0	476.0	19.0	20.0	26.0	19.0	118.0	231.0	4.0	32.0	27.0	10.0	295.0	347.0	588.0	764.0	177.0	446.0	138.0	32.0	16.0	22.0	12.0	730.0	629.0	180.0	13.0	83.0	62.0	85.0	388.0	316.0	94.0	56.0	77.0	184.0	2.0	16.0	663.0	81.0	782.0	11.0	20.0	28.0	17.0	63.0	592.0	86.0	205.0	121.0	1728.0	617.0	3353.0	1574.0	146.0	963.0	79.0	26.0	33.0	58.0	416.0	1249.0	2807.0	124.0	5.0	1180.0	43.0	1963.0	38.0	419.0	78.0	347.0	4.0	612.0	63.0	439.0	2487.0	1011.0	3450.0	15.0	923.0	295.0	364.0	112.0	797.0	2873.0	94.0	236.0	35.0	173.0	82.0	1043.0	580.0	711.0	45.0	86.0	216.0	267.0	657.0	36.0	1880.0	65.0	76.0	190.0	224.0	1267.0	325.0	76.0	11.0	1409.0	1190.0	37.0	2334.0	508.0	487.0	918.0	430.0	10.0	1372.0	398.0	374.0	197.0	287.0	24.0	3124.0	51.0	537.0	92.0	21.0	224.0	9.0	52.0	49.0	221.0	9.0	474.0	52.0	89.0	335.0	177.0	56.0	81.0	151.0	1160.0	3534.0	1052.0	18.0	705.0	193.0	373.0	1305.0	335.0	2061.0	461.0	23.0	359.0	676.0	279.0	7.0	627.0	691.0	369.0	124.0	1313.0	194.0	64.0	246.0	76.0	472.0	531.0	53.0	165.0	192.0	78.0	374.0	2584.0	153.0	290.0	122.0	116.0	20.0	371.0	1600.0	6.0	631.0	318.0	255.0	4397.0	50.0	393.0	8.0	4401.0	321.0	314.0	29.0	223.0	126.0	1542.0	340.0	94.0	135.0	7.0	23.0	73.0	14.0	78.0	172.0	26.0	115.0	203.0	1290.0
763910	0.0	4.0	2.0	30.0	2163.0	88.0	402.0	233.0	45.0	10.0	4.0	90.0	0.0	236.0	0.0	616.0	32.0	3.0	4.0	22.0	102.0	0.0	13.0	5.0	295.0	13.0	5.0	79.0	4.0	20.0	487.0	28.0	0.0	0.0	27.0	37.0	815.0	637.0	2.0	24.0	6.0	0.0	1.0	0.0	24.0	53.0	0.0	22.0	22.0	1.0	60.0	23.0	45.0	450.0	0.0	0.0	5.0	0.0	0.0	0.0	33.0	22.0	0.0	8.0	8.0	61.0	8.0	1.0	103.0	3.0	8.0	1.0	1.0	0.0	0.0	1.0	0.0	8.0	35.0	3.0	0.0	1.0	8.0	60.0	2.0	2148.0	1.0	42.0	19.0	1.0	181.0	27.0	5.0	69.0	8.0	30.0	0.0	14.0	3.0	12.0	499.0	6.0	4.0	134.0	5.0	30.0	17.0	90.0	38.0	44.0	0.0	3.0	40.0	3059.0	7462.0	122.0	42.0	0.0	11.0	12.0	62.0	2.0	14.0	14.0	2.0	0.0	3.0	95.0	184.0	6579.0	0.0	0.0	0.0	29.0	1548.0	0.0	71.0	495.0	2157.0	21.0	9.0	3.0	2.0	19.0	488.0	0.0	21.0	44.0	344.0	143.0	29.0	26.0	12.0	1166.0	7.0	30.0	454.0	0.0	8.0	1.0	253.0	162.0	5.0	0.0	151.0	15.0	0.0	97.0	2.0	0.0	2.0	256.0	3.0	94.0	1.0	2.0	0.0	37.0	2.0	1.0	0.0	0.0	8.0	85.0	5.0	23.0	0.0	2.0	57.0	1.0	5.0	25.0	1.0	0.0	8.0	0.0	18.0	8.0	2.0	0.0	7.0	8.0	2.0	1.0	42.0	23.0	6.0	6.0	1.0	54.0	16.0	0.0	18.0	6.0	6.0	0.0	31.0	4.0	1.0	1.0	392.0	1.0	9.0	1.0	13.0	323.0	79.0	12.0	0.0	400.0	93.0	801.0	0.0	0.0	261.0	201.0	0.0	36.0	18.0	11.0	10.0	9.0	12.0	0.0	0.0	7.0	0.0	3.0	33.0
