sample_id	subpopulation
14A0309_26_d	non-stiff stalk
14A0233_8_d	non-stiff stalk
14A0079_26_d	non-stiff stalk
14A0311_8_d	popcorn
14A0021_8_d	non-stiff stalk
14A0451_26_d	mixed
14A0125_8_d	non-stiff stalk
14A0099_8_d	tropical-subtropical
14A0307_26_d	mixed
14A0035_8_d	non-stiff stalk
14A0031_8_d	non-stiff stalk
14A0063_8_d	non-stiff stalk
14A0101_8_d	stiff stalk
14A0107_8_d	stiff stalk
14A0111_8_d	stiff stalk
14A0083_8_d	mixed
14A0013_8_d	non-stiff stalk
14A0023_8_d	non-stiff stalk
14A0045_8_d	non-stiff stalk
14A0085_8_d	stiff stalk
14A0145_8_d	stiff stalk
14A0091_8_d	non-stiff stalk
14A0513_26_d	tropical-subtropical
14A0425_26_d	mixed
14A0089_8_d	non-stiff stalk
14A0263_8_d	mixed
14A0287_8_d	mixed
14A0165_8_d	stiff stalk
14A0279_8_d	mixed
14A0163_8_d	stiff stalk
14A0133_8_d	mixed
14A0249_8_d	non-stiff stalk
14A0241_8_d	stiff stalk
14A0157_26_d	mixed
14A0193_26_d	non-stiff stalk
14A0199_8_d	non-stiff stalk
14A0041_26_d	stiff stalk
14A0281_8_d	stiff stalk
14A0235_8_d	stiff stalk
14A0029_26_d	stiff stalk
14A0029_8_d	stiff stalk
14A0113_26_d	stiff stalk
14A0113_8_d	stiff stalk
14A0185_26_d	stiff stalk
14A0185_8_d	stiff stalk
14A0195_8_d	stiff stalk
14A0239_26_d	stiff stalk
14A0239_8_d	stiff stalk
14A0303_26_d	stiff stalk
14A0381_26_d	stiff stalk
14A0381_8_d	stiff stalk
14A0455_26_d	stiff stalk
14A0151_8_d	non-stiff stalk
14A0059_8_d	stiff stalk
14A0171_26_d	non-stiff stalk
14A0147_8_d	mixed
14A0155_26_d	stiff stalk
14A0229_8_d	non-stiff stalk
14A0149_8_d	non-stiff stalk
14A0081_8_d	non-stiff stalk
14A0037_8_d	non-stiff stalk
14A0095_8_d	non-stiff stalk
14A0183_8_d	non-stiff stalk
14A0503_8_d	non-stiff stalk
14A0253_26_d	non-stiff stalk
14A0403_26_d	mixed
14A0355_26_d	non-stiff stalk
14A0219_8_d	non-stiff stalk
14A0293_26_d	non-stiff stalk
14A0467_26_d	non-stiff stalk
14A0259_26_d	non-stiff stalk
14A0401_26_d	mixed
14A0383_26_d	non-stiff stalk
14A0039_8_d	stiff stalk
14A0001_8_d	non-stiff stalk
14A0007_8_d	non-stiff stalk
14A0369_26_d	tropical-subtropical
14A0415_26_d	tropical-subtropical
14A0169_26_d	tropical-subtropical
14A0511_26_d	tropical-subtropical
14A0351_26_d	tropical-subtropical
14A0449_26_d	tropical-subtropical
14A0487_26_d	tropical-subtropical
14A0564_26_d	tropical-subtropical
14A0501_26_d	mixed
14A0469_26_d	tropical-subtropical
14A0533_26_d	tropical-subtropical
14A0505_26_d	tropical-subtropical
14A0539_26_d	tropical-subtropical
14A0523_26_d	tropical-subtropical
14A0519_26_d	tropical-subtropical
14A0427_26_d	tropical-subtropical
14A0473_26_d	mixed
14A0435_8_d	mixed
14A0565_26_d	tropical-subtropical
14A0547_26_d	tropical-subtropical
14A0457_26_d	tropical-subtropical
14A0549_26_d	tropical-subtropical
14A0497_26_d	tropical-subtropical
