Name	Length
Zm00001eb441400_T001	321
Zm00001eb442560_T001	524
Zm00001eb436360_T001	4241
Zm00001eb436380_T001	1126
Zm00001eb436400_T001	1804
Zm00001eb441250_T001	231
Zm00001eb441260_T001	231
Zm00001eb441270_T001	231
Zm00001eb441280_T001	231
Zm00001eb441290_T001	231
Zm00001eb442880_T001	1476
Zm00001eb439080_T001	723
Zm00001eb442610_T001	1929
Zm00001eb439910_T001	1072
Zm00001eb439920_T001	639
Zm00001eb439930_T001	639
Zm00001eb439940_T001	964
Zm00001eb436290_T001	1507
Zm00001eb436300_T001	1476
Zm00001eb436310_T001	317
Zm00001eb436330_T001	1516
Zm00001eb436340_T001	1578
Zm00001eb436350_T001	546
Zm00001eb442910_T001	291
Zm00001eb442920_T001	231
Zm00001eb442930_T001	231
Zm00001eb438680_T001	231
Zm00001eb438690_T001	231
Zm00001eb438700_T001	231
Zm00001eb438710_T001	231
Zm00001eb438720_T001	231
Zm00001eb438730_T001	231
Zm00001eb438740_T001	231
Zm00001eb440870_T001	728
Zm00001eb441910_T001	231
Zm00001eb441920_T001	231
Zm00001eb441930_T001	231
Zm00001eb441940_T001	231
Zm00001eb439560_T001	231
Zm00001eb439570_T001	231
Zm00001eb439580_T001	231
Zm00001eb439590_T001	231
Zm00001eb439600_T001	231
Zm00001eb439610_T001	231
Zm00001eb439620_T001	231
Zm00001eb435490_T001	1171
Zm00001eb435500_T001	2037
Zm00001eb435510_T001	403
Zm00001eb439310_T001	519
Zm00001eb439320_T001	991
Zm00001eb442080_T001	762
Zm00001eb442100_T001	483
Zm00001eb442110_T001	321
Zm00001eb442120_T001	1593
Zm00001eb442390_T001	940
Zm00001eb442400_T001	1065
Zm00001eb442410_T001	267
Zm00001eb442420_T001	314
Zm00001eb440400_T001	843
Zm00001eb440410_T001	962
Zm00001eb440420_T001	978
Zm00001eb440430_T001	297
Zm00001eb440440_T001	719
Zm00001eb442620_T001	492
Zm00001eb442780_T001	3476
Zm00001eb442790_T001	1233
Zm00001eb442800_T001	1115
Zm00001eb440460_T002	1290
Zm00001eb440470_T001	416
Zm00001eb440480_T001	795
Zm00001eb440490_T001	1460
Zm00001eb437350_T001	2037
Zm00001eb436520_T001	231
Zm00001eb436530_T001	231
Zm00001eb436540_T001	231
Zm00001eb436550_T001	231
Zm00001eb436560_T001	694
Zm00001eb436570_T001	231
Zm00001eb436580_T001	231
Zm00001eb436590_T001	231
Zm00001eb436600_T001	231
Zm00001eb438630_T001	1707
Zm00001eb440310_T001	407
Zm00001eb440330_T001	2037
Zm00001eb440450_T001	424
Zm00001eb441440_T001	801
Zm00001eb439050_T001	649
Zm00001eb439060_T001	638
Zm00001eb442370_T001	910
Zm00001eb442380_T001	2622
Zm00001eb441780_T001	231
Zm00001eb441800_T001	231
Zm00001eb440900_T001	321
Zm00001eb442060_T001	2203
Zm00001eb442070_T001	302
Zm00001eb434840_T001	1020
Zm00001eb438100_T001	638
Zm00001eb438110_T001	649
Zm00001eb441450_T001	1733
Zm00001eb441470_T001	3423
Zm00001eb441480_T001	900
Zm00001eb442750_T001	352
Zm00001eb442770_T001	291
Zm00001eb434860_T001	798
Zm00001eb434870_T001	964
Zm00001eb434880_T001	472
Zm00001eb434890_T001	670
Zm00001eb434900_T001	743
Zm00001eb434910_T001	1266
Zm00001eb434920_T001	1128
Zm00001eb434930_T001	703
Zm00001eb434940_T001	350
Zm00001eb434950_T001	842
Zm00001eb434960_T001	582
Zm00001eb434970_T001	743
Zm00001eb434980_T001	912
Zm00001eb434990_T001	2240
Zm00001eb435010_T001	978
Zm00001eb435020_T001	838
Zm00001eb435030_T001	1391
Zm00001eb435040_T001	712
Zm00001eb435050_T002	1128
Zm00001eb435060_T001	1859
Zm00001eb435070_T001	983
Zm00001eb435080_T001	995
Zm00001eb435090_T001	472
Zm00001eb435100_T001	607
Zm00001eb435110_T001	298
Zm00001eb435120_T001	798
Zm00001eb435130_T001	849
Zm00001eb164270_T002	222
Zm00001eb164280_T001	960
Zm00001eb164300_T001	3066
Zm00001eb164310_T001	1195
Zm00001eb164320_T001	846
Zm00001eb164330_T001	1524
Zm00001eb164340_T001	852
Zm00001eb164350_T001	2356
Zm00001eb164360_T001	1462
Zm00001eb164370_T001	573
Zm00001eb164380_T001	1748
Zm00001eb164390_T001	1981
Zm00001eb164400_T001	1778
Zm00001eb164410_T002	1047
Zm00001eb164420_T001	539
Zm00001eb164430_T001	350
Zm00001eb164440_T001	492
Zm00001eb164450_T001	845
Zm00001eb164460_T001	1156
Zm00001eb164470_T001	2002
Zm00001eb164480_T001	2474
Zm00001eb164490_T001	2159
Zm00001eb164500_T001	2679
Zm00001eb164530_T001	4265
Zm00001eb164550_T001	672
Zm00001eb164560_T003	1824
Zm00001eb164570_T001	4510
Zm00001eb164580_T001	1750
Zm00001eb164590_T004	1252
Zm00001eb164600_T001	699
Zm00001eb164610_T001	633
Zm00001eb164620_T001	2638
Zm00001eb164630_T001	4246
Zm00001eb164640_T001	3742
Zm00001eb164650_T002	1871
Zm00001eb164660_T001	1465
Zm00001eb164670_T001	336
Zm00001eb164680_T001	1531
Zm00001eb164690_T001	537
Zm00001eb164700_T001	576
Zm00001eb164710_T001	601
Zm00001eb164720_T001	2546
Zm00001eb164730_T001	447
Zm00001eb164740_T001	1161
Zm00001eb164750_T001	2156
Zm00001eb164760_T001	944
Zm00001eb164770_T001	788
Zm00001eb164780_T002	1671
Zm00001eb164790_T001	3563
Zm00001eb164810_T001	2560
Zm00001eb164820_T006	4458
Zm00001eb164840_T001	426
Zm00001eb164850_T001	486
Zm00001eb164860_T002	1471
Zm00001eb164870_T001	3253
Zm00001eb164880_T001	1360
Zm00001eb164890_T001	2312
Zm00001eb164900_T001	1360
Zm00001eb164910_T001	918
Zm00001eb164920_T001	1414
Zm00001eb164930_T001	1502
Zm00001eb164940_T002	3407
Zm00001eb164950_T001	3202
Zm00001eb164960_T001	1789
Zm00001eb164970_T001	1569
Zm00001eb164990_T001	441
Zm00001eb165000_T003	1342
Zm00001eb165010_T001	1644
Zm00001eb165030_T001	914
Zm00001eb165040_T002	3347
Zm00001eb165050_T001	377
Zm00001eb165060_T006	2079
Zm00001eb165070_T001	631
Zm00001eb165080_T001	711
Zm00001eb165090_T001	2127
Zm00001eb165100_T001	626
Zm00001eb165120_T001	737
Zm00001eb165130_T001	1557
Zm00001eb165140_T001	796
Zm00001eb165160_T001	544
Zm00001eb165170_T003	1737
Zm00001eb165180_T001	1878
Zm00001eb165190_T001	231
Zm00001eb165200_T001	2232
Zm00001eb165210_T001	2055
Zm00001eb165220_T001	640
Zm00001eb165230_T001	2781
Zm00001eb165240_T001	2208
Zm00001eb165250_T001	2057
Zm00001eb165260_T001	1525
Zm00001eb165270_T001	2282
Zm00001eb165280_T001	2812
Zm00001eb165290_T001	379
Zm00001eb165300_T001	831
Zm00001eb165310_T003	1448
Zm00001eb165320_T001	601
Zm00001eb165330_T001	1156
Zm00001eb165340_T001	2884
Zm00001eb165350_T001	2150
Zm00001eb165360_T001	2009
Zm00001eb165370_T001	2408
Zm00001eb165400_T002	1827
Zm00001eb165410_T001	1961
Zm00001eb165420_T001	4460
Zm00001eb165430_T001	1767
Zm00001eb165440_T001	1567
Zm00001eb165450_T001	2597
Zm00001eb165460_T001	2152
Zm00001eb165470_T001	1003
Zm00001eb165480_T001	2401
Zm00001eb165490_T001	2255
Zm00001eb165500_T001	1279
Zm00001eb165510_T003	2210
Zm00001eb165520_T001	495
Zm00001eb165530_T004	591
Zm00001eb165540_T001	927
Zm00001eb165550_T001	2045
Zm00001eb165560_T001	2543
Zm00001eb165570_T001	2568
Zm00001eb165580_T001	1999
Zm00001eb165590_T001	1778
Zm00001eb165600_T002	1623
Zm00001eb165610_T001	1744
Zm00001eb165620_T001	2057
Zm00001eb165630_T001	1799
Zm00001eb165640_T001	2001
Zm00001eb165650_T001	523
Zm00001eb165660_T001	4397
Zm00001eb165670_T001	2268
Zm00001eb165680_T001	840
Zm00001eb165690_T001	633
Zm00001eb165700_T002	1668
Zm00001eb165710_T003	2691
Zm00001eb165740_T001	474
Zm00001eb165750_T001	649
Zm00001eb165760_T001	454
Zm00001eb165770_T002	2570
Zm00001eb165790_T001	1077
Zm00001eb165810_T001	1393
Zm00001eb165820_T001	913
Zm00001eb165830_T001	936
Zm00001eb165840_T001	1054
Zm00001eb165850_T001	1052
Zm00001eb165860_T001	2858
Zm00001eb165870_T001	2720
Zm00001eb165880_T002	3876
Zm00001eb165890_T001	1904
Zm00001eb165900_T001	2461
Zm00001eb165910_T001	321
Zm00001eb165920_T001	1167
Zm00001eb165930_T001	1899
Zm00001eb165940_T001	1895
Zm00001eb165950_T001	6639
Zm00001eb165960_T001	3358
Zm00001eb165970_T002	282
Zm00001eb165980_T001	569
Zm00001eb165990_T001	513
Zm00001eb166010_T001	1005
Zm00001eb166020_T001	882
Zm00001eb166030_T001	960
Zm00001eb166040_T001	885
Zm00001eb166050_T001	900
Zm00001eb166070_T001	1120
Zm00001eb166080_T001	879
Zm00001eb166090_T001	1951
Zm00001eb166100_T002	2170
Zm00001eb166120_T003	1105
Zm00001eb166140_T001	1412
